ID,CLIENTE_MORA,SEXO,EDAD,INGRESO,SCORE_DATACREDITO,CRED_REESTRUCTURADO,ANT_SF,SALDO_SF,TIENE_HIPOTECA,ULTIMAPERTURA,SALDO_FIJO,SALDO_ROT,ESTADO_MORA_FIN,ESTADO_MORA_REAL
182871,0,F,37,3.843588405,721,0,0.0,0.0,0,-1,0.0,0.0,0.230769231,0.230769231
513351,0,F,39,1.177731842,477,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0
321571,0,F,33,3.45614765,602,0,10.08,53.388675,0,48,92.89520769,102.6193218,0.0,0.0
400201,0,M,51,6.431296407,909,0,15.25,8.03169,0,11,0.013371795,23.92809872,0.0,0.0
238721,0,F,30,1.779805971,821,0,1.5,49.203875,-1,4,42.35072051,0.0,0.0,0.0
294321,0,F,53,3.679586495,652,0,3.33,28.433968,0,9,63.63329872,86.76160385,0.0,0.0
479301,0,F,35,2.527170383,639,0,2.83,8.213303,0,3,0.0,30.28235769,0.0,0.0
244681,0,F,45,1.624609532,634,0,0.17,0.876144,0,-1,3.846153846,10.33333333,0.115384615,0.115384615
54651,0,F,31,6.689957139,904,0,5.42,138.501264,-1,23,0.0,1.907426923,0.0,0.0
366001,0,M,29,2.862878993,561,0,3.5,16.985754,0,5,92.84616667,93.03608333,0.0,0.0
239401,0,M,45,1.719268353,872,0,2.5,2.588808,0,9,68.06076923,6.341639744,0.0,0.0
143671,0,M,32,4.290466095,639,0,2.0,185.029377,-1,4,92.32992179,51.57099615,0.153846154,0.0
164191,0,M,34,2.330147953,851,0,4.0,8.534703,0,13,88.52955128,1.75919359,3.384615385,3.384615385
240951,0,M,47,1.211853045,754,0,7.33,0.0,0,60,0.0,0.0,0.0,0.0
154681,0,F,48,5.244759093,785,0,12.5,82.694386,0,7,96.48723846,41.37259359,0.0,0.0
96961,1,F,59,3.18978213,513,0,2.42,12.046985,0,25,71.6657,57.09373974,1.153846154,1.153846154
353431,0,M,38,2.777025643,757,0,7.33,2.392886,0,6,0.0,13.73004231,0.320512821,0.0
512921,0,F,43,1.401170687,744,0,1.0,1.653227,0,10,87.53150897,0.0,2.0,2.0
145151,1,F,39,2.012050288,437,0,7.25,11.696968,0,13,77.38266923,0.0,0.153846154,0.0
528671,0,M,56,3.112734253,890,0,5.67,25.705373,0,-1,86.27091667,29.51627692,0.0,0.0
279151,0,M,38,6.259589709,846,0,1.5,155.950407,0,18,91.31372051,0.0,0.0,0.0
53211,1,F,43,1.297706394,266,0,0.0,0.0,0,-1,0.0,0.0,6.0,6.0
36231,1,M,38,1.16892637,831,0,3.42,55.546016,-1,-1,53.61467436,0.0,0.0,0.0
493801,0,M,49,1.538756183,743,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0
419411,0,F,29,5.107173597,616,0,5.17,63.238696,0,10,71.14887308,82.26397564,2.487179487,0.0
314391,0,M,51,6.767005016,899,0,8.58,1.151315,0,21,0.0,7.128507692,0.0,0.0
385701,0,M,74,5.691636783,870,0,30.75,64.266735,0,9,92.3275141,60.16138846,0.0,0.0
251201,0,F,56,5.038931191,947,0,4.92,41.835896,-1,-1,0.0,3.983223077,0.0,0.0
117981,0,M,43,2.888194724,593,0,1.25,32.286362,0,15,95.27163846,0.0,0.0,0.0
331791,0,M,66,23.66360456,817,0,26.67,536.823382,0,6,63.18638846,57.48572949,0.0,0.0
261091,0,M,42,14.30008607,835,0,11.33,118.524951,1,2,72.61476538,23.70315641,0.0,0.0
438431,0,F,47,11.2302785,872,0,5.75,66.783999,0,5,75.67658718,4.127533333,0.0,0.0
547431,1,M,52,3.972368429,803,0,12.83,0.0,0,-1,0.0,0.28704359,0.0,0.0
198291,0,F,34,1.461708305,789,0,0.17,4.218921,0,-1,42.69462308,0.0,0.0,0.0
9291,0,F,39,12.32215699,721,0,3.0,433.07181,1,22,58.82640128,90.6247641,0.128205128,0.0
397831,1,F,49,4.118759397,534,0,8.25,43.790711,0,13,71.12393974,92.43785769,0.153846154,0.0
90651,0,M,26,3.207393074,826,0,3.75,4.531515,0,30,0.0,12.46964359,0.0,0.0
449741,0,F,34,3.473758593,817,0,9.67,21.009855,0,27,73.29349103,32.96823974,0.0,0.0
214961,0,M,49,2.639440148,821,0,8.0,0.0,0,60,0.0,0.0,0.0,0.0
474841,0,M,34,4.376319444,631,0,4.67,11.140022,0,12,77.97820128,31.29226538,0.064102564,0.0
403361,0,F,21,1.599293801,595,0,1.58,10.91108,0,19,15.39267692,48.04807692,0.0,0.0
183141,0,F,36,1.349438541,721,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0
372911,0,M,55,2.467733449,817,0,0.67,21.298234,0,-1,95.89998974,0.0,0.012820513,0.0
102841,0,F,59,2.777025643,730,0,5.33,3.49247,0,60,68.4079359,44.72307692,7.487179487,0.0
25971,0,F,61,9.320591815,812,0,16.42,48.476323,0,5,66.40875769,43.22753077,0.0,0.0
537291,0,M,60,2.82875779,721,0,1.5,18.24934,0,18,90.34220641,0.0,0.0,0.0
288361,0,M,40,2.3818801,762,0,5.5,69.598448,0,60,92.16957179,18.7758859,1.358974359,0.0
15711,0,M,49,2.450122506,730,0,2.25,10.212145,0,4,45.32925385,53.06223077,0.0,0.0
60581,0,F,48,6.629419521,840,0,19.58,9.428458,0,60,0.0,6.798332051,0.0,0.0
245811,0,F,33,1.642220475,821,0,9.5,53.343547,-1,60,27.84336923,0.0,0.0,0.0
430691,0,F,58,5.330612442,904,0,25.75,1.712664,0,13,19.02673077,0.695165385,0.0,0.0
14471,0,M,47,4.901345696,894,0,5.58,24.692744,1,14,73.01378205,0.713235897,0.0,0.0
384211,0,M,52,4.229928477,690,0,14.67,22.069814,0,4,83.25452564,6.324025641,0.0,0.0
543531,0,M,37,1.805121702,658,0,2.25,4.050516,0,29,53.52877692,69.15769231,0.294871795,0.0
539381,0,F,65,1.056656606,579,0,0.67,2.380779,0,2,71.5643,0.0,0.0,0.0
325281,0,M,53,2.932222082,709,0,13.83,44.831958,0,3,54.53183333,73.44087308,0.076923077,0.0
143551,0,F,29,1.358244012,607,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0
444751,1,M,45,2.114413896,684,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0
402211,0,M,43,6.98163839,661,0,17.17,59.777045,0,2,88.97569615,24.88344359,0.435897436,0.0
23181,1,F,46,3.584927674,616,0,12.42,46.9915,0,3,70.77526538,103.9069718,0.0,0.0
240541,0,M,48,6.611808577,798,0,17.83,26.384495,0,15,139.2296,48.7197,0.0,0.0
321401,0,M,35,2.57890253,836,0,5.83,30.591309,0,-1,64.11749231,22.44694359,0.0,0.0
498411,0,F,53,3.146855455,740,0,4.0,6.604103,0,13,68.28426538,0.0,0.0,0.0
59171,0,M,60,1.969123613,785,0,24.17,0.318097,0,60,0.0,55.67517564,0.217948718,0.0
530941,0,F,43,1.374754272,629,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0
188771,0,F,34,1.633415004,744,0,1.92,70.154293,-1,2,0.032747436,10.989,0.0,0.0
442501,0,M,31,3.300951211,808,0,2.17,38.974118,0,3,58.48032051,46.15656667,0.0,0.0
461661,0,F,36,7.59251799,840,0,8.25,39.50905,0,5,66.20840256,12.78186282,0.0,0.0
404211,0,F,44,3.576122202,841,0,8.17,1.198644,0,60,0.0,23.67952949,0.0,0.0
100731,0,M,46,2.244294604,716,0,0.42,0.152995,0,6,0.0,35.71793077,0.0,0.0
472401,1,M,35,1.856853848,532,0,1.42,15.223559,0,6,78.76064359,49.65692308,2.487179487,2.487179487
117231,0,M,36,5.984418717,794,0,6.92,52.981422,0,18,80.42939103,0.0,1.307692308,1.294871795
513221,0,F,42,2.605318945,716,0,9.5,8.724021,0,23,35.92922051,98.04121667,0.0,0.0
231511,0,M,57,4.590952818,894,0,31.92,26.98877,0,60,51.98661026,0.0,0.0,0.0
473721,0,M,45,2.389584888,793,0,13.5,10.805414,0,14,92.95178205,11.4176141,0.0,0.0
115461,0,M,57,11.34144758,757,0,20.08,80.058248,0,10,63.7377359,85.80523846,0.0,0.0
71991,0,M,43,2.303731538,716,0,7.17,28.856631,1,4,90.07576026,63.22924231,0.0,0.0
157731,0,F,64,1.590488329,785,0,0.5,0.996118,0,7,101.0388564,0.0,0.0,0.0
487741,0,M,33,9.767469505,721,0,11.58,209.401822,1,3,68.32367564,72.14103205,0.0,0.0
214991,0,M,24,1.512339767,762,0,1.17,0.405051,0,15,0.0,53.83290513,0.0,0.0
301651,0,F,39,4.393930388,849,0,2.33,0.0,0,4,0.0,0.550167949,0.038461538,0.0
410691,0,M,31,5.416465791,803,0,7.0,175.014253,1,3,68.67597692,26.67645256,0.0,0.0
377421,0,F,67,1.599293801,885,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0
263041,0,F,32,1.521145239,665,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0
492391,1,M,59,5.271175508,486,0,25.58,52.711755,0,49,93.75448462,4.554232051,0.576923077,0.307692308
103641,0,M,53,3.81717199,844,0,3.83,140.615678,-1,3,56.11134231,0.0,0.0,0.0
152781,0,M,43,7.283225796,894,0,19.67,53.290714,0,29,13.52905128,51.04386667,0.0,0.0
257331,0,F,34,1.606998588,739,0,2.42,1.608099,0,30,82.50120513,72.65314231,0.0,0.0
68331,0,M,35,3.929441755,698,0,2.75,38.206941,0,3,76.72368333,84.1347141,0.0,0.0
360151,0,M,51,4.660295907,947,0,21.0,206.010614,-1,60,7.074442308,31.05065,0.0,0.0
110841,0,F,34,1.813927174,680,0,1.83,8.673389,0,19,95.30651795,58.1110859,0.0,0.0
24491,0,M,74,13.0354002,844,0,14.75,115.290041,0,8,27.4943359,58.79120256,0.0,0.0
247911,0,F,41,7.807151363,867,0,13.67,31.871404,0,4,66.24527436,32.37433846,0.0,0.0
49171,0,F,53,2.346658213,872,0,12.33,0.33901,0,7,0.0,44.34582436,0.0,0.0
66281,0,M,47,3.112734253,812,0,6.67,13.812483,0,11,141.5645641,70.42283077,0.0,0.0
378501,0,M,60,3.972368429,913,0,7.0,31.773444,0,4,73.17099487,3.098923077,0.0,0.0
406511,0,F,39,4.728538313,922,0,12.75,383.866834,1,40,4.782038462,0.909867949,0.0,0.0
250181,0,M,33,1.16892637,693,0,1.83,1.350539,0,23,75.24598462,0.0,0.0,0.0
402511,0,M,53,1.572877386,672,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0
171911,0,F,52,3.954757486,807,1,18.5,10.902274,0,23,75.72167051,76.31183846,0.41025641,0.0
538441,0,M,44,20.25918906,862,0,16.25,311.368084,1,2,34.99464231,19.80971538,0.0,0.0
479891,0,F,35,3.954757486,858,0,11.08,111.855907,1,23,0.0,80.27797821,0.0,0.0
38861,0,M,29,1.693952622,665,0,2.83,0.860734,0,34,28.72846154,0.0,0.769230769,0.0
152931,0,M,49,3.284440951,766,0,11.67,40.874999,0,13,77.88418462,74.14672051,0.0,0.0
514051,0,M,43,1.710462881,737,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0
530551,0,F,38,2.13202484,794,0,0.75,0.0,0,-1,82.95282051,0.0,0.08974359,0.08974359
216211,0,F,44,2.932222082,933,0,6.75,11.450415,0,8,47.67602564,3.902566667,0.0,0.0
400141,0,M,51,2.74290444,780,0,0.42,1.724771,0,-1,40.10853333,0.0,0.0,0.0
153551,0,F,34,1.297706394,671,0,0.0,0.0,0,-1,20.68471026,0.0,0.461538462,0.461538462
507461,1,F,51,2.975148757,538,0,5.42,47.041031,1,12,52.25589615,93.18128333,1.782051282,1.179487179
353411,0,M,51,13.19059664,730,0,15.92,569.738235,0,6,60.2185641,89.81760513,2.269230769,2.269230769
170201,0,M,60,6.749394073,844,0,8.17,22.196392,0,6,57.73438974,60.49888462,0.0,0.0
436011,0,M,58,5.760979872,634,0,13.5,194.148543,0,4,86.92630128,86.85052564,0.0,0.0
482961,0,F,36,2.527170383,515,0,1.67,2.10891,0,11,0.0,27.60348718,0.0,0.0
385141,0,M,52,11.6078131,899,0,20.0,78.300455,0,6,62.86711538,25.17647308,0.0,0.0
342411,0,M,58,1.512339767,817,0,2.58,1.284498,0,31,39.74117949,0.0,0.0,0.0
36151,0,M,35,2.966343285,835,0,8.83,14.333106,-1,9,42.70868205,5.920124359,0.0,0.0
32891,1,F,56,1.908585995,917,0,24.17,0.004402,0,-1,29.66237436,1.190879487,0.333333333,0.333333333
241671,0,F,76,2.510660124,880,0,0.0,0.0,0,-1,0.0,0.0,0.0,0.0
21461,0,M,33,3.593733145,922,0,0.92,71.699654,1,2,42.24701026,27.43276667,0.0,0.0
